"id_block" "species" "sample_size" "slope_temperature" "slope_rainfall" "abs_slope_temperature" "abs_slope_rainfall" "fam_sys_known50" "fam_sys_inferred50" "coop_num" "hand_wing_index" "migration" "mass" "logmass" "latitude" "abs_latitude"
"107" "10901_1" "Ciconia_nigra" 26 -0.0169807485067567 0.0427690111323 0.0169807485067567 0.0427690111323 NA "1_no_fam" 1 43.1 3 2926 7.98139158158007 50.86389 50.86389
"108" "10902_1" "Ciconia_nigra" 13 -0.0164105079635333 0.0352048953498667 0.0164105079635333 0.0352048953498667 NA "1_no_fam" 1 43.1 3 2926 7.98139158158007 52.35 52.35
"109" "10904_1" "Ciconia_nigra" 28 0.0263970726069 -0.369455262536333 0.0263970726069 0.369455262536333 NA "1_no_fam" 1 43.1 3 2926 7.98139158158007 49.7 49.7
"110" "10905_1" "Ciconia_nigra" 15 0.2022458926248 0.151223802855333 0.2022458926248 0.151223802855333 NA "1_no_fam" 1 43.1 3 2926 7.98139158158007 48.01667 48.01667
"111" "10937_1" "Corvus_corax" 25 -0.0345533808168133 -0.02840325503341 0.0345533808168133 0.02840325503341 "family" "2_family" 2 39.8 2 928 6.8330317327862 56 56
"112" "10960_1" "Arenaria_interpres" 23 0.0726528411176333 -0.0921066435763333 0.0726528411176333 0.0921066435763333 "no_fam" "1_no_fam" 1 55.6 3 136 4.91265488573605 -33.03333 33.03333
"113" "10972_1" "Merops_apiaster" 19 -0.0186317050228333 -0.0152742024400733 0.0186317050228333 0.0152742024400733 "coop_families" "3_coop_families" 3 45.5 3 56.6 4.03600898520914 46.86667 46.86667
"114" "10981_1" "Spheniscus_magellanicus" 19 0.0867026132746667 -0.01235445561453 0.0867026132746667 0.01235445561453 "no_fam" "1_no_fam" 1 3.8 2 4105.1 8.31998538212575 -44.03333 44.03333
"115" "10996_1" "Bombycilla_garrulus" 32 0.0285255341701333 -0.02744904501679 0.0285255341701333 0.02744904501679 "no_fam" "1_no_fam" 1 37.8 3 54.4 3.9963641538619 67.05 67.05
"116" "10998_1" "Cygnus_olor" 40 -0.00726547661339 0.01573581373882 0.00726547661339 0.01573581373882 "family" "2_family" 2 42.1 3 10682 9.27631536089972 52.2 52.2
"117" "10999_1" "Dendrocoptes_medius" 31 0.00801203883289333 0.00917135207257 0.00801203883289333 0.00917135207257 NA NA NA 28.1 1 59 4.07753744390572 48.7 48.7
"118" "11001_1" "Fulica_atra" 40 0.0274450691407667 -0.0125064051444433 0.0274450691407667 0.0125064051444433 "coop_families" "3_coop_families" 3 39.6 1 717.1 6.57521530088853 52.35 52.35
"119" "11003_1" "Gallinula_chloropus" 40 -0.00335027868930333 -0.00313634569435333 0.00335027868930333 0.00313634569435333 "coop_families" "3_coop_families" 3 32.2 1 339.6 5.82776845443719 48.53333 48.53333
"120" "11005_1" "Tringa_glareola" 40 -0.00824875844656677 0.0388109732704967 0.00824875844656677 0.0388109732704967 "no_fam" "1_no_fam" 1 48.4 3 62.1 4.12874598893943 63.06667 63.06667
"121" "11006_1" "Tringa_ochropus" 40 0.0368593776258633 0.04735832595 0.0368593776258633 0.04735832595 NA NA NA 45.8 3 71.4 4.26829786934554 60.76667 60.76667
"122" "11124_4" "Aquila_chrysaetos" 9 0.0227542243955333 -0.179548007901333 0.0227542243955333 0.179548007901333 "family" "2_family" 2 36.7 2 4248 8.35420356292178 56.32861 56.32861
"123" "11125_1" "Aquila_chrysaetos" 22 -0.00787361136732333 0.000221490740839467 0.00787361136732333 0.000221490740839467 "family" "2_family" 2 36.7 2 4248 8.35420356292178 44.86 44.86
"124" "11131_1" "Phoeniconaias_minor" 10 -0.344389283663733 0.30237543161 0.344389283663733 0.30237543161 "no_fam" "1_no_fam" 1 47.6 1 1500 7.3132203870903 -20.65 20.65
"125" "11132_1" "Aquila_chrysaetos" 11 0.1177617835518 -0.134713017131667 0.1177617835518 0.134713017131667 "family" "2_family" 2 36.7 2 4248 8.35420356292178 56 56
"126" "11136_3" "Phoenicopterus_roseus" 31 -0.399413315739467 0.0671925371406667 0.399413315739467 0.0671925371406667 NA NA NA 41.6 2 3031.6 8.01684581193787 43.51667 43.51667
"127" "11161_1" "Branta_leucopsis" 23 -0.0200553501593333 -0.00299951764963333 0.0200553501593333 0.00299951764963333 "family" "2_family" 2 50.6 3 1684 7.42892719480227 55.8 55.8
"128" "11162_1" "Branta_leucopsis" 51 -0.0483624263513333 -0.00596106630462667 0.0483624263513333 0.00596106630462667 "family" "2_family" 2 50.6 3 1684 7.42892719480227 55.75 55.75
"129" "11163_1" "Branta_leucopsis" 21 -0.0927944432441333 0.0995880932714 0.0927944432441333 0.0995880932714 "family" "2_family" 2 50.6 3 1684 7.42892719480227 55.22722 55.22722
"130" "11164_1" "Branta_leucopsis" 21 0.0139200722112 0.0839125171543333 0.0139200722112 0.0839125171543333 "family" "2_family" 2 50.6 3 1684 7.42892719480227 53.77139 53.77139
